deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,OrX,OrY,OrZ,GyX,GyY,GyZ
50,-0.90,-0.59,0.67,-6.86,-6.90,-1.13,10.69,-44.44,99.31,0.05,-0.11,0.01
50,0.39,-0.01,0.40,-6.82,-6.96,-1.05,11.19,-44.06,98.56,0.10,-0.04,-0.16
50,-0.59,-0.43,0.28,-6.83,-6.95,-1.05,11.38,-44.13,98.62,0.08,0.06,0.06
50,-0.11,-0.41,0.93,-6.83,-6.95,-1.00,11.81,-44.19,98.19,0.22,0.03,-0.03
50,-0.39,-0.39,0.56,-6.85,-6.94,-0.93,12.06,-44.31,97.62,0.24,-0.06,-0.00
50,0.09,-0.16,0.87,-6.86,-6.95,-0.83,12.50,-44.38,96.81,0.21,-0.03,-0.04
50,-0.74,-0.50,0.60,-6.89,-6.92,-0.79,12.56,-44.63,96.50,0.14,-0.03,0.09
50,0.00,-0.08,1.08,-6.88,-6.95,-0.68,12.88,-44.56,95.56,0.09,-0.09,-0.06
50,-0.39,0.03,1.13,-6.88,-6.95,-0.67,12.94,-44.56,95.50,-0.07,0.03,0.05
50,-0.17,0.08,0.94,-6.87,-6.96,-0.54,12.81,-44.50,94.50,-0.07,-0.01,0.01
50,-0.01,0.07,0.67,-6.86,-6.98,-0.46,12.69,-44.44,93.75,-0.06,-0.02,-0.01
50,0.03,0.04,0.30,-6.86,-6.98,-0.43,12.38,-44.44,93.56,-0.11,-0.05,-0.03
50,0.01,0.07,0.16,-6.87,-6.97,-0.47,12.00,-44.50,93.87,-0.17,-0.03,0.03
50,0.27,-0.08,-0.13,-6.88,-6.96,-0.49,11.50,-44.56,94.06,-0.13,-0.05,0.16
50,0.32,0.31,0.00,-6.92,-6.92,-0.48,11.00,-44.88,94.00,0.00,-0.02,0.13
50,-0.35,-0.40,-0.31,-6.98,-6.85,-0.57,10.31,-45.38,94.75,0.02,0.05,0.05
50,-0.04,-0.55,-0.22,-7.01,-6.82,-0.57,10.19,-45.63,94.81,0.07,0.03,0.06
50,0.01,-0.65,-0.21,-7.03,-6.80,-0.58,10.19,-45.81,94.87,0.01,0.06,0.01
50,-0.73,-0.44,0.23,-7.06,-6.77,-0.59,10.25,-46.06,94.94,0.05,0.09,-0.02
50,-0.22,-1.08,-0.35,-7.02,-6.80,-0.62,10.69,-45.88,95.19,0.10,0.11,-0.18
50,-0.44,0.01,0.12,-7.01,-6.82,-0.60,11.69,-45.69,94.94,0.07,0.23,-0.02
50,0.77,0.43,0.04,-6.97,-6.86,-0.59,12.31,-45.44,95.06,0.22,-0.02,-0.23
50,-0.24,0.22,0.36,-6.99,-6.85,-0.59,12.75,-45.38,94.94,0.17,0.14,0.11
50,-0.12,0.12,0.45,-7.00,-6.83,-0.57,13.06,-45.56,94.81,0.10,0.04,-0.01
50,-0.34,0.13,0.47,-7.03,-6.80,-0.56,13.19,-45.75,94.62,-0.01,0.11,0.10
50,-0.40,-0.29,0.06,-7.04,-6.79,-0.60,13.06,-45.88,95.00,-0.04,0.04,0.02
50,-0.53,-0.09,0.46,-7.05,-6.78,-0.57,13.06,-46.00,94.81,0.10,-0.02,0.04
50,-0.28,-0.10,-0.02,-7.05,-6.79,-0.56,13.06,-45.94,94.75,-0.04,-0.02,-0.04
50,-0.30,0.11,0.13,-7.04,-6.79,-0.57,13.00,-45.88,94.81,0.03,-0.02,0.01
50,-0.04,-0.20,-0.21,-7.03,-6.80,-0.57,12.88,-45.88,94.87,-0.01,-0.07,-0.05
50,0.08,0.03,-0.11,-7.03,-6.80,-0.54,12.88,-45.81,94.56,0.03,-0.03,-0.02
50,-0.18,-0.08,-0.17,-7.04,-6.80,-0.51,12.88,-45.88,94.31,0.11,-0.06,-0.02
50,-0.37,-0.36,0.06,-7.04,-6.80,-0.47,12.88,-45.94,93.94,0.02,-0.04,0.07
50,-0.54,-0.30,-0.01,-7.05,-6.79,-0.43,12.94,-46.00,93.62,0.10,-0.02,-0.01
50,-0.12,-0.04,-0.06,-7.03,-6.82,-0.38,13.31,-45.81,93.25,0.12,-0.02,-0.00
50,-0.22,-0.17,0.16,-7.03,-6.82,-0.35,13.50,-45.75,92.94,0.07,-0.00,-0.02
50,-0.25,-0.22,0.09,-7.01,-6.84,-0.29,13.81,-45.63,92.44,0.21,-0.06,-0.05
50,-0.16,-0.89,0.41,-6.99,-6.87,-0.15,14.50,-45.44,91.25,0.55,-0.16,-0.05
50,-0.33,-1.14,0.00,-6.96,-6.90,-0.08,15.00,-45.19,90.69,0.33,-0.11,-0.25
50,-0.04,-0.55,1.40,-6.90,-6.96,0.10,16.06,-44.75,89.12,0.13,-0.09,-0.17
50,-5.28,19.94,-27.41,-6.48,-7.19,-1.50,14.38,-41.38,101.81,5.31,-3.63,-5.36
50,1.57,-1.37,-4.21,-6.44,-7.25,1.39,29.37,-41.06,79.06,-7.06,-1.52,-4.80
50,-1.53,15.12,2.69,-6.18,-7.44,1.53,30.31,-39.13,78.31,1.62,-0.09,-0.05
50,-1.18,4.71,0.77,-6.11,-7.56,1.19,30.25,-38.56,81.00,2.00,0.08,0.11
50,0.06,2.45,0.12,-6.04,-7.64,1.09,30.62,-38.00,81.81,1.09,0.01,-0.18
50,-0.28,0.37,-0.36,-6.03,-7.65,1.05,30.87,-37.94,82.06,0.21,0.06,0.10
50,-0.47,1.01,-0.86,-6.02,-7.65,1.08,30.87,-37.88,81.87,0.15,-0.09,-0.06
50,-1.04,0.17,-1.16,-6.06,-7.62,1.07,30.56,-38.19,81.94,-0.09,0.04,0.14
50,-1.20,-0.02,-0.91,-6.10,-7.59,1.09,30.31,-38.44,81.75,0.10,-0.06,0.01
50,-1.17,-0.04,-0.75,-6.12,-7.57,1.11,30.31,-38.56,81.56,-0.09,0.06,-0.01
50,-1.31,0.04,-0.90,-6.12,-7.58,1.11,30.44,-38.56,81.62,-0.00,-0.00,-0.08
50,-1.05,0.25,-0.64,-6.10,-7.58,1.14,30.81,-38.50,81.37,-0.05,0.08,-0.02
51,-0.76,0.39,-0.36,-6.15,-7.55,1.10,30.56,-38.88,81.62,0.03,-0.04,-0.05
50,-0.42,0.53,-0.34,-6.23,-7.48,1.08,30.12,-39.50,81.69,0.07,-0.02,-0.09
50,-0.78,0.49,-0.53,-6.32,-7.42,1.00,29.56,-40.13,82.25,-0.00,0.01,0.01
50,-0.36,0.63,-0.32,-6.37,-7.38,0.96,29.12,-40.50,82.56,0.05,-0.04,0.06
50,-0.65,0.47,-0.33,-6.39,-7.37,0.93,28.87,-40.69,82.75,-0.04,0.00,0.01
50,-0.40,0.35,-0.63,-6.39,-7.37,0.92,28.75,-40.69,82.81,0.10,-0.06,0.00
50,-0.55,0.25,-0.15,-6.44,-7.33,0.91,28.50,-41.06,82.81,0.02,0.03,0.02
50,-0.81,0.17,-0.52,-6.45,-7.32,0.90,28.44,-41.13,82.94,0.06,-0.02,0.03
50,-0.98,0.06,-0.32,-6.50,-7.28,0.85,28.12,-41.56,83.25,-0.03,0.03,0.09
50,-0.50,0.18,-0.52,-6.51,-7.27,0.82,28.00,-41.63,83.50,-0.06,0.03,0.01
50,-0.18,0.44,-0.15,-6.51,-7.28,0.84,28.25,-41.56,83.31,0.14,-0.00,-0.03
50,-0.48,0.22,-0.18,-6.52,-7.27,0.84,28.19,-41.69,83.37,-0.02,-0.00,0.05
50,-0.47,0.33,-0.34,-6.54,-7.25,0.83,28.00,-41.88,83.44,0.09,0.03,-0.00
50,-0.58,0.05,-0.07,-6.58,-7.22,0.80,27.75,-42.13,83.62,-0.02,-0.03,-0.03
50,-0.71,-0.08,-0.40,-6.58,-7.22,0.77,27.56,-42.19,83.81,-0.10,0.01,0.00
50,-0.30,0.20,-0.47,-6.58,-7.22,0.78,27.69,-42.13,83.75,0.06,0.00,-0.05
50,-0.45,0.15,-0.26,-6.59,-7.21,0.78,27.62,-42.25,83.75,-0.04,-0.03,-0.03
50,-0.31,0.02,-0.41,-6.59,-7.21,0.77,27.62,-42.25,83.87,-0.01,0.03,0.05
50,-0.21,-0.04,-0.21,-6.60,-7.20,0.78,27.50,-42.31,83.81,-0.09,-0.04,-0.04
50,-0.43,0.08,-0.64,-6.60,-7.20,0.77,27.44,-42.31,83.87,0.01,-0.00,-0.02
50,-0.20,0.09,-0.14,-6.60,-7.21,0.76,27.50,-42.31,83.87,-0.02,0.03,-0.00
50,-0.07,0.38,-0.25,-6.59,-7.21,0.77,27.50,-42.25,83.87,0.08,-0.03,-0.03
50,-0.35,-0.01,-0.51,-6.61,-7.19,0.74,27.31,-42.44,84.12,0.04,-0.00,-0.04
50,-0.22,0.23,-0.14,-6.62,-7.19,0.74,27.37,-42.44,84.06,0.05,-0.01,0.03
50,-0.36,0.10,-0.37,-6.62,-7.18,0.74,27.31,-42.50,84.06,-0.03,-0.00,0.00
50,-0.15,0.05,-0.18,-6.64,-7.17,0.72,27.19,-42.63,84.19,0.01,-0.02,-0.00
50,-0.30,0.19,-0.29,-6.66,-7.16,0.71,27.06,-42.75,84.25,0.00,0.02,0.02
50,-0.21,0.15,-0.30,-6.68,-7.14,0.70,27.00,-42.88,84.37,0.05,-0.01,0.03
50,-0.39,-0.26,-0.17,-6.70,-7.12,0.70,26.87,-43.06,84.25,-0.03,0.02,0.09
51,-0.43,-0.07,0.18,-6.69,-7.12,0.72,26.87,-43.06,84.25,0.06,-0.04,-0.06
50,11.00,9.68,-8.89,-7.37,-6.44,0.54,27.19,-42.75,84.12,-0.00,0.01,-0.20
50,-12.71,24.18,4.08,-7.03,-6.82,-0.03,10.94,-50.25,98.56,9.36,2.29,1.67
50,-3.41,-17.45,-7.21,-6.51,-7.31,0.46,29.06,-41.31,84.81,-2.84,-0.09,0.56
50,-1.12,-9.08,-3.41,-6.48,-7.32,0.72,30.50,-41.25,82.12,-3.47,0.51,0.14
50,-0.11,-4.06,-1.60,-6.47,-7.31,0.82,30.50,-41.44,82.75,-1.47,-0.10,-0.17
50,-0.69,-0.75,-0.84,-6.46,-7.32,0.86,30.44,-41.13,82.75,0.15,0.04,0.18
50,-1.13,1.48,-0.14,-6.49,-7.30,0.82,30.00,-41.44,83.44,0.19,-0.00,0.03
50,-0.61,0.81,-0.86,-6.47,-7.32,0.82,30.06,-41.25,83.50,0.14,0.05,-0.05
