deltat,AcX,AcY,AcZ,GyX,GyY,GyZ,
20,-9440,-9148,13720,-4096,-894,-100,
23,-10876,-8860,12052,-4096,-1134,-2499,
20,-10828,-8788,12604,-4080,-640,-1902,
21,-9996,-8692,11736,-4128,-639,-2988,
20,-10540,-8328,11620,-4080,95,-3952,
21,-10288,-8048,11088,-4096,-920,-2455,
20,-9164,-7848,11148,-4080,-455,-3166,
21,-8068,-7660,11464,-4064,-202,-2390,
20,-8884,-7264,10632,-4080,-1294,-3155,
20,-9352,-6852,9940,-4096,547,-893,
21,-8400,-6796,10904,-4080,-5,760,
20,-7932,-6896,11016,-4128,-964,624,
23,-8552,-6856,11044,-4080,-39,944,
24,-8292,-6940,11720,-4128,334,1917,
20,-8288,-7116,11908,-4080,812,1417,
20,-9968,-6968,11872,-4112,-5,1342,
22,-9332,-7272,11784,-4080,536,2715,
20,-9360,-7600,12940,-4080,655,538,
21,-9764,-7756,12968,-4080,2,545,
20,-9424,-8232,12628,-4112,239,242,
21,-7836,-8584,13584,-4128,1549,-796,
21,-8596,-8560,13152,-4096,-356,-2816,
21,-10000,-8180,11428,-4112,-74,-2757,
20,-9404,-8372,11764,-4112,493,-2304,
31,-8320,-8272,11752,-4064,-255,-2922,
76,-8892,-7096,10276,-4080,-398,-837,
74,-8320,-7092,11192,-4096,1442,3099,
33,-8344,-7240,11908,-4080,-941,2718,
35,-9336,-7336,12508,-4064,501,2416,
31,-9380,-7556,12552,-4064,1794,1460,
31,-9512,-7764,13324,-4096,701,1936,
31,-9940,-7696,13416,-4080,-394,875,
31,-9268,-7756,13472,-4080,-783,720,
32,-10400,-7468,12340,-4144,-1935,-2811,
32,-10128,-7600,12324,-4112,-323,-486,
31,-8440,-7840,12960,-4096,-1514,-2433,
31,-8512,-7672,12068,-4096,-92,-2678,
32,-8520,-7448,11712,-4080,-695,-3042,
31,-9756,-7268,10748,-4064,-695,-1768,
39,-7684,-7496,11572,-4112,-480,361,
32,-8024,-7492,11184,-4096,-562,-363,
31,-7808,-7576,12032,-4112,-469,-255,
32,-9188,-7280,10936,-4080,-702,1394,
31,-8072,-7588,12208,-4096,-492,2384,
31,-8728,-7476,12092,-4080,-1111,1770,
35,-8976,-7488,12684,-4096,-577,275,
20,-9728,-7484,11548,-4048,467,-141,
21,-9676,-7520,12128,-4064,1053,-62,
20,-8984,-8012,12740,-4080,-718,35,
22,-8944,-8156,11916,-4112,-375,-547,
20,-8480,-8160,12824,-4096,266,-816,
21,-8176,-8328,12556,-4112,-58,-1703,
23,-9384,-8072,11424,-4048,-173,-2090,
21,-9476,-7992,11440,-4112,19,-852,
20,-8588,-8044,11652,-4112,110,-158,
22,-8808,-7832,11248,-4112,173,-339,
20,-8984,-7684,11048,-4048,11,1051,
21,-8424,-7640,11872,-4096,40,1048,
26,-8696,-7356,11772,-4096,702,835,
21,-8932,-7332,11660,-4080,-85,1361,
20,-9332,-7244,11832,-4080,-1019,1718,
21,-9100,-7408,12404,-4064,-337,2427,
20,-8896,-7336,12884,-4096,-890,1661,
21,-8836,-7428,12296,-4096,293,1227,
21,-8796,-7620,13000,-4064,1061,-62,
21,-9704,-7452,12576,-4080,-265,-821,
23,-9964,-7560,12012,-4096,234,-24,
21,-8684,-7776,13212,-4096,-598,70,
20,-8512,-7824,12616,-4064,250,-1809,
21,-9360,-7704,11964,-4096,1318,-2082,
20,-8504,-7724,12972,-4080,103,-1498,
21,-8904,-7536,11632,-4144,-1509,-1998,
20,-9484,-7524,11036,-4112,-374,-1330,
21,-8804,-7408,11624,-4080,-444,134,
20,-7472,-7508,11976,-4064,-227,-747,
21,-8356,-7368,11796,-4128,77,-1615,
21,-9300,-7196,10864,-4064,-377,-426,
21,-8020,-7416,11636,-4096,-473,925,
20,-8636,-7392,11676,-4064,-398,-206,
24,-9176,-7320,10940,-4064,403,1196,
20,-8308,-7608,11784,-4048,1232,1710,
21,-8848,-7696,11692,-4128,222,1193,
21,-9716,-7612,11472,-4096,80,2361,
21,-7952,-8004,12424,-4096,943,3325,
20,-8072,-8048,12960,-4064,141,667,
21,-10124,-7636,12208,-4096,-847,1088,
20,-10176,-7432,12364,-4080,-709,2137,
21,-8952,-7680,13576,-4112,159,685,
22,-9168,-7528,12828,-4080,-184,-918,
21,-9484,-7388,12252,-4096,-237,-1193,
21,-8676,-7420,13400,-4112,-1839,-1419,
21,-9344,-7296,12480,-4080,-1690,-3211,
23,-10096,-7312,11540,-4080,-232,-2949,
21,-8376,-7572,11984,-4096,385,-1605,
20,-8228,-7748,11684,-4080,-228,-2933,
21,-9076,-7432,11120,-4112,-44,-1619,
20,-8100,-7644,11432,-4096,740,-1068,
21,-7984,-7676,12420,-4080,-712,-1331,
20,-9352,-7500,9644,-4064,-1020,-497,
21,-9236,-7864,11024,-4080,1763,873,
20,-8140,-7936,11632,-4032,1557,1154,
20,-8072,-8152,11776,-4064,607,1302,
21,-9216,-7692,11400,-4080,-262,1907,
20,-8272,-7808,12048,-4064,-229,3331,
21,-8072,-7672,12652,-4080,-1577,2794,
23,-9168,-7268,13000,-4080,-2130,2060,
21,-10140,-6888,12744,-4112,-364,1851,
20,-9344,-6952,13068,-4096,109,2327,
21,-8628,-6904,13296,-4064,284,537,
20,-9636,-6804,13088,-4064,206,-788,
21,-9440,-6876,13000,-4080,-586,-390,
20,-8444,-7144,13560,-4096,-762,-1077,
21,-9568,-7092,12752,-4048,-566,-2963,
20,-9368,-7236,11964,-4096,820,-1561,
21,-8164,-7388,13196,-4080,-178,-2077,
20,-8416,-7576,12452,-4096,-1512,-3127,
21,-9140,-7588,11676,-4064,512,-3269,
21,-8080,-7808,12324,-4112,-458,-2759,
25,-7644,-7892,11492,-4112,-1087,-3115,
21,-7644,-7760,11112,-4080,-647,-2946,
21,-7600,-7720,11184,-4080,-1564,-2328,
20,-7216,-7448,10576,-4096,-1169,-1391,
21,-7316,-7476,10444,-4096,-64,-1096,
20,-7784,-7148,9948,-4064,-629,-58,
21,-7576,-7072,10404,-4080,-817,2182,
21,-8052,-6952,9856,-4080,-1121,2599,
21,-7120,-7040,10888,-4048,-229,4210,
20,-8172,-6932,11536,-4080,-1674,3492,
21,-10116,-6648,10772,-4064,-1389,4692,
20,-10592,-6812,11216,-4096,-233,6230,
21,-10432,-7084,12140,-4096,-71,6048,
24,-10916,-7468,12248,-4080,8,6064,
21,-10580,-7840,13456,-4096,498,5461,
20,-10320,-8120,14416,-4048,-780,3513,
21,-12428,-7992,12828,-4080,-720,1324,
20,-12272,-8272,12880,-4064,966,1365,
22,-10996,-8472,14128,-4096,6,544,
20,-10776,-8372,14028,-4096,-1968,-1678,
21,-10820,-8132,12904,-4064,-988,-1935,
20,-9680,-8008,13500,-4080,174,-3931,
21,-10656,-7412,12456,-4048,-1076,-5590,
20,-10836,-7084,10960,-4096,-1154,-4428,
22,-9264,-7060,11944,-4064,-634,-4231,
20,-8736,-6952,11532,-4064,-1340,-4437,
24,-9204,-6580,10356,-4080,-1249,-3282,
20,-7776,-6840,10760,-4096,-201,-2148,
21,-8876,-6568,11104,-4064,-1199,-3162,
20,-9716,-6468,9072,-4064,-369,35,
23,-8056,-7116,10824,-4112,1111,554,
21,-8856,-7280,11272,-4064,-443,726,
21,-9336,-7572,10716,-4064,78,1770,
22,-9068,-7980,11580,-4080,731,2712,
21,-9396,-8116,11628,-4080,373,1441,
20,-9680,-8112,12040,-4080,1188,2387,
20,-9952,-8220,11900,-4080,107,1846,
21,-10060,-8380,12120,-4096,-625,1930,
21,-10240,-8148,12572,-4064,39,1703,
24,-9800,-8160,12808,-4064,294,331,
21,-9688,-7992,12988,-4064,602,-797,
20,-9596,-7812,12700,-4064,221,-1771,
20,-10020,-7416,12100,-4064,-47,-2420,
21,-9952,-7176,11884,-4064,-461,-2251,
20,-8992,-7084,12272,-4064,35,-2309,
22,-8612,-7044,11604,-4064,1176,-4004,
20,-9108,-6908,11580,-4064,234,-3324,
21,-8404,-6988,10700,-4096,-432,-1473,
20,-7532,-6932,11112,-4096,920,-1789,
