deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,OrX,OrY,OrZ,GyX,GyY,GyZ
50,0.02,0.00,-0.45,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.01,-0.00,-0.00
50,0.00,0.00,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,-0.00
50,0.00,0.01,-0.40,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,-0.00,-0.00
50,0.03,0.00,-0.44,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.01,0.00,-0.40,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,-0.00,-0.00
50,0.00,0.01,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,-0.00,0.00
50,0.02,0.00,-0.43,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.00,0.00,-0.46,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,-0.00,0.00
50,0.01,0.01,-0.39,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.02,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,-0.00
50,0.00,-0.01,-0.44,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,-0.03,0.01,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.03,0.01,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.01,-0.01,-0.00
50,-0.01,0.02,-0.44,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,-0.00
50,0.00,0.00,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,-0.00
50,0.00,0.01,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.01,-0.00
50,0.01,0.00,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,-0.01,0.00
50,0.00,0.01,-0.45,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,-0.01,0.00,-0.44,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,-0.01,0.00
50,0.02,-0.01,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.01,0.00,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.01,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.01,0.01,-0.40,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.01,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.02,0.00,-0.40,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,-0.00,-0.00
50,0.00,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.01,0.00,0.00
50,0.00,-0.02,-0.43,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.02,0.01,-0.40,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.01,0.01,0.00
50,-0.02,0.01,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.00,0.01,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.00,0.00,-0.40,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.00,0.00,-0.47,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.00,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,-0.00,0.00
50,0.01,0.01,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,-0.00
50,0.02,-0.01,-0.43,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.00,0.00,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.00,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,-0.00
50,0.02,0.01,-0.43,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.00,0.01,-0.42,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,-0.00
50,0.01,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,-0.00,-0.00
50,0.01,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.01,0.00,0.00
50,0.00,0.00,-0.43,-0.27,-0.23,9.79,359.94,-1.63,1.31,0.00,0.00,0.00
50,0.00,0.01,-0.40,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.00,0.00,-0.38,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,-0.00
50,0.00,0.00,-0.41,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.01,0.00,-0.39,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,0.00,0.00
50,0.02,-0.01,-0.44,-0.27,-0.23,9.79,359.94,-1.63,1.31,-0.00,-0.00,0.00
