deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
50,0.01,0.06,-0.46,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,0.00,0.00
50,0.01,0.02,-0.41,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.02,0.02,-0.41,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,0.00,0.00
50,0.00,0.03,-0.46,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.01,0.01,-0.44,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,-0.00,0.00
50,0.02,0.00,-0.43,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,-0.00,0.00
50,0.01,0.02,-0.46,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,-0.01,0.00
50,0.01,0.02,-0.44,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,-0.00,-0.00
50,0.02,0.01,-0.44,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,-0.00,0.00
50,0.00,0.04,-0.43,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,-0.00,-0.00
50,0.00,0.01,-0.41,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.02,0.02,-0.41,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,-0.00,-0.00
50,0.02,0.02,-0.42,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,-0.00,0.00
50,0.01,0.00,-0.42,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,-0.00
50,0.00,0.02,-0.43,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,0.00,-0.00
50,0.02,0.00,-0.42,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.00,0.01,-0.42,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.01,-0.00
50,0.00,0.03,-0.42,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,0.00,0.00
50,0.02,0.00,-0.37,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.00,0.01,-0.44,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,-0.00,-0.00
50,0.01,0.00,-0.41,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.01,0.03,-0.44,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,-0.00,-0.00,-0.00
50,0.00,0.05,-0.42,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.01,0.00,-0.41,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,0.00
50,0.01,0.01,-0.43,-0.31,-0.26,9.79,1.00,-0.01,0.02,0.00,359.94,-1.81,1.50,0.00,0.00,-0.00
