led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,2050,50,0.01,0.02,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,2100,50,0.00,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,0.00
0,2150,50,0.00,0.02,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,-0.00
0,2200,50,0.00,0.03,-0.42,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.01,-0.00
0,2250,50,0.01,0.04,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,2300,50,0.00,0.01,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
0,2350,50,0.00,0.04,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,-0.00,-0.00
0,2400,50,0.03,0.01,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.00,-0.00
0,2450,50,0.00,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,0.00,0.00,0.00
0,2500,50,0.01,0.03,-0.39,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,0.01,-0.00
0,2550,50,0.00,0.03,-0.40,-0.08,-0.39,9.79,0.99976,-0.02039,0.00433,0.00024,359.94,-0.44,2.31,-0.00,-0.00,-0.00
