led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,2050,50,0.03,-0.04,0.18,0.75,0.42,9.76,0.99896,0.02191,-0.03851,0.01141,358.69,4.44,-2.44,-0.02,-0.02,-0.01
0,2100,50,0.02,0.00,0.15,0.75,0.41,9.76,0.99896,0.02179,-0.03851,0.01141,358.69,4.44,-2.44,-0.01,-0.00,-0.00
0,2150,50,0.01,-0.06,0.15,0.75,0.41,9.76,0.99896,0.02179,-0.03851,0.01141,358.69,4.44,-2.44,-0.00,0.01,0.00
0,2200,50,0.00,-0.02,0.15,0.75,0.41,9.76,0.99896,0.02173,-0.03851,0.01141,358.69,4.44,-2.44,0.01,0.01,0.00
0,2250,50,0.12,-0.13,0.12,0.75,0.41,9.76,0.99896,0.02155,-0.03802,0.01147,358.69,4.38,-2.38,-0.01,0.02,0.00
0,2300,50,-0.05,0.00,0.20,0.74,0.41,9.76,0.99896,0.02148,-0.03802,0.01202,358.56,4.38,-2.38,-0.00,0.00,0.03
0,2350,50,0.00,-0.06,0.17,0.74,0.40,9.76,0.99896,0.02136,-0.03802,0.01202,358.56,4.38,-2.38,-0.01,0.00,0.00
0,2400,50,0.01,-0.06,0.16,0.75,0.40,9.76,0.99896,0.02136,-0.03821,0.01202,358.56,4.38,-2.38,0.00,-0.01,-0.00
0,2450,50,-0.01,-0.01,0.17,0.76,0.40,9.76,0.99896,0.02124,-0.03857,0.01202,358.56,4.38,-2.38,-0.01,-0.02,-0.01
0,2500,50,0.00,0.01,0.15,0.77,0.40,9.76,0.99896,0.02124,-0.03906,0.01202,358.56,4.50,-2.38,-0.00,-0.03,-0.01
0,2550,50,0.02,0.00,0.17,0.78,0.40,9.76,0.99890,0.02106,-0.03986,0.01196,358.63,4.56,-2.31,-0.01,-0.02,-0.01
0,2600,50,-0.01,-0.02,0.10,0.79,0.40,9.76,0.99890,0.02106,-0.04041,0.01196,358.63,4.63,-2.31,0.00,-0.03,-0.01
0,2650,50,0.01,0.01,0.18,0.81,0.40,9.76,0.99884,0.02112,-0.04138,0.01196,358.63,4.75,-2.31,-0.01,-0.04,-0.01
0,2700,50,-0.01,0.01,0.22,0.83,0.40,9.76,0.99884,0.02112,-0.04224,0.01184,358.63,4.81,-2.31,0.01,-0.03,-0.01
